,Expected Return,Expected Volatility,Sharpe Ratio
Original Portfolio,0.23930770190625436,0.1800914314329045,1.0928210206357194
Minimum Volatility Portfolio,0.188943372213591,0.14374917182310343,1.0187423715651247
Markowitz Portfolio,0.43142311520328136,0.20353968618417728,1.9107974591812817
