Date,ACC.NS,ADANIGREEN.NS,ADANIPOWER.NS,AMBUJACEM.NS,APLAPOLLO.NS,BPCL.NS,COALINDIA.NS,DALBHARAT.NS,DEEPAKNTR.NS,GRASIM.NS,HINDALCO.NS,HINDPETRO.NS,IOC.NS,JINDALSTEL.NS,JSWSTEEL.NS,NTPC.NS,ONGC.NS,PIDILITIND.NS,PIIND.NS,RELIANCE.NS,SAIL.NS,SHREECEM.NS,SRF.NS,TATACHEM.NS,TATAPOWER.NS,TATASTEEL.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS
2021-05-17,1842.85888671875,1142.449951171875,97.05000305175781,301.9787902832031,623.6964111328125,372.8453674316406,111.1780776977539,1755.019287109375,1704.7525634765625,1372.794189453125,384.1947326660156,214.58876037597656,55.744564056396484,431.1834411621094,683.3986206054688,97.8211898803711,92.82257843017578,1868.2174072265625,2681.238525390625,1790.926025390625,114.89175415039062,27003.845703125,1261.131591796875,673.097412109375,100.4302749633789,103.42721557617188,6434.1171875,738.872314453125,157.327392578125
2021-05-18,1878.048828125,1198.75,101.9000015258789,307.2843322753906,623.5225830078125,376.87933349609375,109.90232849121094,1793.1729736328125,1779.790771484375,1371.365966796875,393.1408386230469,225.793212890625,57.6847038269043,435.0447692871094,686.3162841796875,98.30349731445312,94.32559967041016,1870.2425537109375,2722.047119140625,1816.140625,116.12382507324219,27148.55859375,1273.1552734375,682.65771484375,102.27481842041016,106.04693603515625,6552.953125,737.5782470703125,161.19496154785156
2021-05-19,1865.7542724609375,1243.6500244140625,102.4000015258789,309.2313232421875,640.0911865234375,375.19854736328125,113.9547348022461,1771.8009033203125,1761.0435791015625,1368.706787109375,394.3140563964844,232.3966064453125,58.58645248413086,417.66876220703125,675.2195434570312,98.17195129394531,93.35066986083984,1897.7061767578125,2553.054931640625,1824.4541015625,113.17562866210938,27205.87109375,1270.5008544921875,681.0802612304688,101.20691680908203,104.63147735595703,6462.53369140625,749.8008422851562,159.61407470703125
2021-05-20,1895.668212890625,1268.8499755859375,100.0999984741211,311.51904296875,629.3352661132812,382.2159118652344,110.05242919921875,1791.3468017578125,1759.853271484375,1354.47509765625,376.6174011230469,226.986083984375,57.22016143798828,397.0749206542969,664.3621826171875,97.99656677246094,90.83206939697266,1912.6234130859375,2568.19677734375,1813.81103515625,106.88319396972656,27183.78515625,1275.046875,675.8699340820312,99.94486999511719,99.3111572265625,6474.9931640625,735.7567138671875,155.71826171875
2021-05-21,1902.5416259765625,1299.199951171875,101.0999984741211,312.9306335449219,622.5289916992188,387.4683837890625,110.46515655517578,1807.4373779296875,1747.9007568359375,1351.12646484375,381.1148986816406,235.42137145996094,57.00155258178711,399.1540832519531,667.9015502929688,98.96118927001953,91.60389709472656,1954.0657958984375,2547.246337890625,1829.4788818359375,107.36723327636719,27294.751953125,1277.998291015625,676.7302856445312,101.83795166015625,100.03461456298828,6537.78466796875,747.5958862304688,154.50439453125
2021-05-24,1921.1290283203125,1360.949951171875,101.05000305175781,317.55474853515625,622.6531372070312,397.3851623535156,111.74091339111328,1854.376708984375,1772.6986083984375,1350.0430908203125,380.6260070800781,242.45077514648438,59.81611251831055,393.9066467285156,651.8784790039062,99.00503540039062,91.8476333618164,2034.974853515625,2531.211181640625,1814.039306640625,109.78740692138672,26589.919921875,1269.62939453125,676.15673828125,104.16790008544922,98.13835906982422,6463.71533203125,756.7029418945312,155.23837280273438
2021-05-25,1898.620849609375,1314.25,100.4000015258789,313.758056640625,631.7695922851562,398.6877746582031,110.65278625488281,1835.324462890625,1790.75146484375,1354.1302490234375,382.4837341308594,245.51815795898438,60.2806510925293,403.6094665527344,670.3887329101562,99.35581970214844,93.10693359375,2025.7379150390625,2544.813720703125,1793.4840087890625,109.0833511352539,26720.44921875,1273.6605224609375,672.5237426757812,104.31351470947266,99.32463836669922,6458.0029296875,763.701171875,154.64553833007812
2021-05-26,1914.352294921875,1264.5999755859375,99.25,314.5368957519531,620.6410522460938,396.8389587402344,109.3395004272461,1821.9486083984375,1770.417236328125,1388.109130859375,372.5109558105469,242.19517517089844,61.20970916748047,385.98590087890625,652.595947265625,97.42657470703125,92.09136199951172,2076.417236328125,2541.2890625,1799.78759765625,104.50704193115234,26755.974609375,1275.868896484375,669.0341796875,103.00292205810547,97.25312042236328,6481.93701171875,778.991455078125,151.7942657470703
2021-05-27,1936.328125,1266.5999755859375,95.1500015258789,321.35137939453125,647.5930786132812,393.18316650390625,108.47650146484375,1797.66455078125,1751.025390625,1395.7421875,377.2528991699219,238.91477966308594,60.253318786621094,390.93634033203125,652.2610473632812,96.72503662109375,90.87268829345703,2072.0703125,2594.111328125,1805.3148193359375,107.58724212646484,27732.888671875,1287.4271240234375,661.3380737304688,103.2456283569336,98.5562515258789,6572.8984375,785.845703125,151.1449737548828
2021-05-28,1922.0970458984375,1238.949951171875,91.94999694824219,317.019287109375,644.7860107421875,396.2506408691406,110.24002838134766,1753.291748046875,1779.790771484375,1443.3123779296875,379.11053466796875,239.12779235839844,60.03471374511719,392.1739807128906,659.8660888671875,95.54116821289062,91.27891540527344,2035.0736083984375,2587.806396484375,1913.756103515625,106.399169921875,27326.818359375,1290.6163330078125,677.3995361328125,102.27481842041016,99.17185974121094,6499.2724609375,778.128662109375,150.32630920410156
